abstract data type,抽象数据类型,Data structure that encapsulates its implementation.
adaptor,适配器,"Library type, function, or iterator that, given  a type, function, or iterator, makes it act like another."
address,地址,Number by which a byte in memory can be found.
alias declaration,别名声明,Defines a synonym for another type: using `name = type` declares `name` as a synonym for the type `type`
arguments,实参,Values  supplied in a function call that are used to initialize the function's parameters
array,数值,Date structure that holds a collection of unnamed objects that are accessed by an index.
auto,auto,Type specifier that deduces the type of a variable from its initializer.
automatic object,自动对象,Objects that exist only during the execution of a function. They are created when control passed throught their definition and are destroyed at the end of the block in which they are defined.
base type ,基本类型,"Type specifier, possibly qualified by `const`, `constexpre` and `typedef`, that precedes the declarators in a declaration. The base type provides the common type on which the declarators in a declaration can build."
bind,绑定,Associating a name with a given entity so that uses of the name are uses of the underlying entity. 
block,块,Sequence of zero or more statements enclosed in curly braces.
block scope,块作用域,The scope that is inside a block.
cast,强制类型转换,An explicit conversion
class,类,C++ mechanism for defining our own abstract data types.
class declaration,类声明,The keyword `class` (or `struct`) followed by the class name followed by a semicolon.
class member,类成员,Part of a class.
class scope,类作用域,The scope that is inside a class.
class template,类模板,"A blueprint from which specific class types can be created. To use a class template, we must specify additional information."
compiler extension,编译器扩展,Feature tha is added to the language by a particualr compiler.
compound type,复合类型,A type that is defined in terms of another type.
const,const,Type qualifier used to define objects tha may not be changed. `const` object must be initialized.
const pointer,常量指针,Pointer that is `const`.
const reference,常量引用,Colloquial synonym for reference to `const`.
constant expression,常量表达式,Expression that can be evaluated at compile time.
container ,容器,A type whose obejcts hold a collection of objects of a given type.
copy initialization,拷贝初始化,Form of initialization tha uses an `=`. The newly created object is a copy of the given initalizer.
data member,数据成员,Data elements that constitute an object.
declarator,声明符,The part of a declaration that includes the name being defined and an optional type modifier.
decltype,decltype,Type specifier that deduces the type of a variable or an expression.
default initialization,默认初始化,How objects are intialized when no explicit initializer is given. How class type bojects are initialized is controlled by the class. Objects of built-in type defined at global scope are initialized to 0; those defined at local scope are uninitialized and have undefined values.
definition,定义,Allocates storage for a variable of a specified type and optionally initializes the variable. Names may not be used until they are defined or declared.
direct initialzation,直接初始化,Form of initialization that dose not include an `=`.
encapsulation,封装,Separation of implementation from interface; encapsulation hides the implementation details of a type.
end-of-file,文件结束符,System-specific marker that indicates that there is no more input in a file.
expression,表达式,The samllest unit of computaion. An expression consists of one or more operands and usually one or more operators. Expressions are evaluated to produce a result.
flow of control,控制流,Execution path through a program
function,函数,Named unit of computation.
function matching,函数匹配,Compiler process by which a call to an overloaded function is resolved. Arguments used in the call are compared to the parameter list of each overloaded function
function prototype,函数原型,Function declaration
global scope,全局作用域,The scope that is outside all other scopes.
header guard,头文件保护符,Preprocessor variable used to prevent  a header from being include more than once in a single file.
identifier,标识符,Sequence of characters that make up a name.
implementation,实现,The (usually `private`) members of a class that define the data and any operations that are not intended for use by code that uses the type
in scope,在作用域内,Name that is visible from the current scope.
in-class initializer,类内初始符,Initializer provided as part of the declatation of a class data member. In-class initializers must follow an `=` symbol or be enclosed inside curly braces.
index,索引,Value used in the subscript operator to denote the element to retrieve from a object.
initialize,初始化,Give an object a value at the same time that it is created.
initializer,初始符,
instantiation,实例化,Compiler process that generates a specific template class or function.
interface,接口,The (public) operations supported by a type.
